 ICAO 	 Name	Lat     	 Lon	Lvl	 BNL 	Edit date	Editor
LKHD	Hodkovice	5039433N	01504667E	3	0		
LKHN	Hranice	4932767N	01742267E	3	0		
LKHO	Holesov	4918867N	01734133E	3	0		
LKHV	Horovice	4950667N	01353150E	3	0		
LKJA	Jaromer	5020167N	01556633E	3	0		
LKJC	Jicin	5025800N	01519983E	3	0		
LKKO	Kolin	5000367N	01510433E	3	0		
LKKR	Krnov	5004550N	01741533E	3	0		
LKKT	Klatovy	4925167N	01319300E	3	0		
LKKU	Kunovice	4901767N	01726383E	3	0		
LKKV	Karlovy	5012183N	01254900E	3	0		
LKKY	Kyjov	4858800N	01707483E	3	0		
LKLB	Liberec	5046100N	01501500E	3	0		
LKMH	Mnichovo	5032400N	01500400E	3	0		
LKML	Mlada	5023867N	01453900E	3	0		
LKMO	Most	5031500N	01340983E	3	0		
LKMR	Marianske	4955367N	01243483E	3	0		
LKNM	Nove	5021733N	01607000E	3	0		
LKOL	Olomouc	4935250N	01712533E	3	0		
LKPI	Pribyslav	4934967N	01545767E	3	0		
LKPJ	Prostejov	4926867N	01708033E	3	0		
LKPL	Plzen	4943383N	01327133E	4	0		
LKPN	Podhorany	4956450N	01533000E	3	0		
LKPR	Praha	4959117N	01425533E	5	0		
LKPS	Plasy	4955217N	01322617E	3	0		
LKRA	Rana	5024233N	01345117E	3	0		
LKRK	Rakovnik	5005650N	01341333E	3	0		
LKRO	Roudnice	5024633N	01413567E	3	0		
LKSN	Slany	5013000N	01405317E	3	0		
LKSO	Sobeslav	4915300N	01443533E	3	0		
LKSR	Strunkovice	4904950N	01404550E	3	0		
LKSZ	Kralupy	5019483N	01415533E	3	0		
LKTE	Brno	4914500N	01633517E	5	0		
LKTO	Touzim	5005183N	01257167E	3	0		
LKUO	Usti	4958783N	01625350E	3	0		
LKVL	Vlasim	4943717N	01452850E	3	0		
LKVM	Vysoke	4956033N	01610617E	3	0		
LKVY	Vyskov	4917900N	01701133E	3	0		
LKZA	Zabreh	4955700N	01804700E	3	0		
LKZM	Zamberk	5005033N	01626633E	3	0		
LKZZ	Jesenik	5018100N	01717850E	3	0		
LKZZ	Hronov	5028067N	01612333E	3	0		
LKZZ	Plumlov	4928083N	01702333E	3	0		
LOAA	Ottenschlag	4825083N	01512950E	3	0		
LOAD	Voeltendorf	4809633N	01535183E	3	0		
LOAG	Krems	4826767N	01538017E	3	0		
LOAU	Stockerau	4824533N	01611417E	3	0		
LOAV	Voeslau	4757867N	01615567E	3	0		
LOGF	Fuerstenfeld	4703717N	01605067E	3	0		
LOGG	Punitz	4708833N	01619000E	3	0		
LOGI	Trieben	4729617N	01429800E	3	0		
LOGK	Kapfenberg	4727467N	01519717E	3	0		
LOGL	Lanzen	4733367N	01519383E	3	0		
LOGM	Mariazell	4747367N	01518017E	3	0		
LOGP	Pinkafeld	4723250N	01606650E	3	0		
LOGT	Timmersdorf	4722767N	01458033E	3	0		
LOGW	Weiz	4710217N	01539850E	3	0		
LOIH	Hohenems	4723083N	00942033E	3	0		
LOIK	Kufstein	4733850N	01207650E	3	0		
LOIR	Reutte	4728217N	01041533E	3	0		
LOKF	Feldkirchen	4642517N	01404583E	3	0		
LOKG	Ferlach	4631983N	01419967E	3	0		
LOKL	Lienz	4647883N	01253133E	3	0		
LOKM	Mayerhofen	4658533N	01422250E	3	0		
LOKN	Noetsch	4634833N	01337700E	3	0		
LOKW	Wolfsberg	4649067N	01449533E	3	0		
LOLC	Scharnstein	4753883N	01356317E	3	0		
LOLE	Eferding	4820300N	01359117E	3	0		
LOLF	Freistadt	4830883N	01424533E	3	0		
LOLG	St.Georgen	4806183N	01456983E	3	0		
LOLH	Hofkirchen	4808350N	01420200E	3	0		
LOLK	Ried	4812750N	01320700E	3	0		
LOLM	Micheldorf	4752217N	01407450E	3	0		
LOLS	Schaerding	4824183N	01326883E	3	0		
LOLU	Gmunden	4757050N	01351900E	3	0		
LOLW	Wels	4810867N	01402250E	3	0		
LOSJ	St.Johann	4731233N	01226967E	3	0		
LOSM	Mauterndorf	4707917N	01341767E	3	0		
LOWG	Graz	4659583N	01526350E	5	0		
LOWI	Innsbruck	4715617N	01120633E	5	0		
LOWL	Linz	4814117N	01411283E	5	0		
LOWS	Salzburg	4747667N	01300200E	5	0		
LOWW	Wien	4806617N	01634183E	5	0		
LOWZ	Zell Am See	4717550N	01247250E	3	0		
LSGB	Bex	4615500N	00659183E	3	0		
LSGC	Les Eplature	4705050N	00647617E	3	0		
LSGE	Ecuvillens	4645300N	00704567E	3	0		
LSGK	Saanen	4629183N	00714917E	4	0		
LSGN	Neuchatel	4657450N	00651883E	4	0		
LSGS	Sion	4613240N	00719695E	3	0		
LSMB	Bern	4654733N	00729950E	3	0		
LSME	Emmen	4705533N	00818283E	3	0		
LSMF	Mollis	4704717N	00903900E	3	0		
LSMH	St.Stephan	4629950N	00724733E	3	0		
LSMI	Interlaken	4640600N	00752750E	3	0		
LSMJ	Turtmann	4618150N	00742833E	3	0		
LSML	Lodrino	4617750N	00859533E	3	0		
LSMM	Meiringen	4644650N	00806733E	3	0		
LSMO	Locarno	4609650N	00852717E	3	0		
LSMP	Payerne	4650750N	00654933E	3	0		
LSPL	Langenthal	4710967N	00744483E	3	0		
LSPN	Triengen	4713600N	00804683E	3	0		
LSPV	Wangen	4712283N	00852050E	3	0		
LSZG	Bad Ragaz	4700900N	00928917E	3	0		
LSZG	Grenchen	4710883N	00724983E	3	0		
LSZJ	Courtelary	4711017N	00705450E	3	0		
LSZN	Hausen Am Albis	4713933N	00830967E	3	0		
